,nulos,porcentaje_nulos
meses envio oc de arraste,648,100.0
oc asociada item 2025,54,8.33
código presupuestario,1,0.15
unidad de compra,0,0.0
id proyecto,0,0.0
tipo proyecto,0,0.0
estado proyecto,0,0.0
nombre proyecto,0,0.0
descripción proyecto,0,0.0
cantidad de ítems,0,0.0
nombre ítem,0,0.0
tipo compra,0,0.0
cantidad productos,0,0.0
monto unitario ítem,0,0.0
monto total ítem año 2025,0,0.0
cantidad oc,0,0.0
meses envío oc,0,0.0
nombre responsable,0,0.0
cargo responsable,0,0.0
teléfono responsable,0,0.0
correo responsable,0,0.0
fecha de inicio compra,0,0.0
fecha publicación pac 2025,0,0.0
cantidad oc asociadas ítem 2025,0,0.0
item de arraste,0,0.0
monto de arrastre,0,0.0
anexo,0,0.0
